SolutionIndex, FireHazard, MinOwlHabitat, MaxSediment
73,23235.495504921983,2446.8416266946565,54.972111354160795
74,23234.617699551,2460.4760562279566,63.246820316710654
75,23235.647550812464,2448.098171886979,54.972111354160795
76,23235.50361045016,2451.744201949794,59.07797166487678
77,23236.54452938681,2450.020713064999,54.97491908230532
78,23236.28377863812,2461.741060552472,63.246820316710654
79,23237.75568617707,2452.1101173150673,54.972111354160795
80,23236.78115838628,2453.3751216395817,59.12854358785353
81,23237.29415932916,2417.332420514333,52.76274881967583
82,23237.465425541202,2419.4869027293234,52.76274881967583
83,23237.5545678292,2420.658740979493,52.76274881867585
84,23238.077100866984,2422.444062192148,52.76274881867585
85,23238.579484787002,2424.066522749744,52.76274881967583
86,23237.919564235297,2454.919866839847,59.12854358785353
87,23238.176068725676,2453.3751216395817,55.384171591160815
88,23238.54264140205,2425.089086696929,52.764175854261865
89,23238.639611294253,2426.4497602930514,52.764175854261865
90,23238.806810935766,2456.643355724643,59.1285435878535
91,23238.059214487264,2462.742101040502,63.246820316710654
92,23239.987983740084,2454.919866839847,54.972111354160795
93,23239.48478486913,2428.006386105799,52.764175854261865
94,23239.218893343168,2464.223149547968,63.42886003258007
95,23239.723680961626,2457.908360049157,59.07797166487678
96,23240.322854615093,2429.271390430314,52.764175854261865
97,23240.422669298066,2456.0074187422683,55.38417159116079
98,23241.414598577318,2430.3660364495317,52.764175854261865
99,23241.320648689623,2457.072989799402,55.3841715901608
100,23241.529874376578,2460.017571667677,59.077971664880316
101,23240.57299327641,2465.2761477830013,63.42886003258007
102,23242.350347499967,2431.8829759334617,52.764175854261865
103,23242.63312166581,2458.752567343162,54.97491908230532
104,23242.393665947606,2461.7410605524724,59.12854358785351
105,23243.44216236708,2441.689692631704,52.764175854261865
106,23243.548611107733,2442.861530881873,52.764175854261865
107,23243.92067785768,2443.8840948290585,52.84338579737844
109,23244.342592623896,2446.841626694657,52.764175854261865
110,23243.406890831156,2460.017571667677,55.386979319305325
111,23244.13338698324,2466.3323611664864,63.23133164389205
112,23244.430625585526,2448.464087252252,52.764175854261865
113,23245.405929225737,2463.390625455555,59.12854358785353
114,23244.778781528115,2461.375145187199,55.384171591160786
115,23244.776728395653,2468.297903397261,63.2819035668688
116,23245.47479769085,2450.3866284302717,52.764175854261865
117,23246.187609916567,2452.1101173150673,52.764175854261865
118,23245.70268443389,2470.0213922820567,63.2819035668688
119,23246.848818809165,2462.499660663172,54.921539431184065
120,23245.578099680584,2412.553708249096,49.969059041615544
121,23245.988155682404,2413.553708248096,49.969059041615544
122,23246.132934231977,2414.553708247096,49.96739395707714
123,23246.941958242747,2416.918219221683,49.96739395707714
124,23246.666031134868,2420.8475763254464,49.969059041615544
125,23246.844096795292,2422.0194145756163,49.969059041615544
126,23247.180187759528,2423.0194145746163,49.96739395707714
127,23247.545976809808,2424.0194145746163,49.96458622893263
128,23247.36166315143,2453.197669217489,52.764175854261865
129,23247.716391054957,2425.455002062201,49.96739395708067
130,23246.986128970795,2464.4407775332447,58.94909498969967
131,23248.345494485573,2427.172285101793,49.96739395707714
132,23248.759088957417,2454.219328933587,52.764175854261865
133,23247.719897552437,2471.0231567263063,63.2819035668688
134,23248.76686531905,2428.1948490489785,49.96739395707714
135,23247.727171802653,2463.7646649876865,55.20472299300695
136,23248.475960329408,2472.130603900577,63.42886003258007
137,23249.05150449009,2455.620791777457,52.764175854261865
138,23249.363077194586,2456.643355724643,52.764175854261865
139,23249.763810270862,2429.637305795587,49.96739395707714
140,23249.62450787283,2465.276147783,55.20472299300696
141,23250.27886113004,2473.4881774200994,63.42886003258007
142,23251.34549763125,2431.241714743137,49.97186676976006
143,23251.368073362548,2433.2187445360332,49.97186676976006
144,23251.399248074697,2457.908360049157,52.764175854261865
145,23251.628481862583,2434.390582786203,49.97186676976006
146,23251.072566890263,2466.3323611664873,59.12854358785353
149,23251.818285820973,2438.308097646694,50.67885883983274
150,23251.65490782357,2439.5352104167137,50.720258655509845
151,23251.88990774101,2440.707048666884,50.67885883983274
152,23252.089208802012,2441.867145053797,50.720258655509845
153,23252.324573388712,2443.038983303967,50.62828691685599
154,23252.577192180463,2444.824304516621,50.67438602714981
155,23251.850878194316,2467.419913068909,59.12854358785353
156,23252.452616008828,2458.995007720492,52.764175854261865
157,23252.167990735532,2468.578935535449,59.163626838011645
158,23252.860684806,2446.2693126521226,50.71859357097142
159,23253.34715725306,2447.441523305067,50.71578584282691
160,23252.7279340294,2460.4760562279566,52.843385797378424
161,23252.663022347035,2466.3323611664873,55.38697931930532
162,23253.498270081847,2470.0213922820567,59.163626838011645
163,23253.413224299155,2461.741060552472,52.764175854261865
164,23253.90909756331,2448.4640872522523,50.67438602714981
997,23219.824190887368,2412.1845472467608,63.42886003258007
998,23964.25023112199,2477.17,0.0014270345860465114
999,23973.78770637972,2477.179022798109,0.0
